bin,count
"[0.00,0.05)",8
"[0.05,0.10)",44
"[0.10,0.15)",123
"[0.15,0.20)",330
"[0.20,0.25)",770
"[0.25,0.30)",4439
"[0.30,0.35)",42578
"[0.35,0.40)",179232
"[0.40,0.45)",181310
"[0.45,0.50)",66353
"[0.50,0.55)",27000
"[0.55,0.60)",8313
"[0.60,0.65)",2816
"[0.65,0.70)",658
"[0.70,0.75)",373
"[0.75,0.80)",319
"[0.80,0.85)",370
"[0.85,0.90)",337
"[0.90,0.95)",253
"[0.95,1.00)",470
