Running as unit: run-rec96ad1670f14d8c9a73f654fecd97cf.scope; invocation ID: fefbc2b3254d47bcb65d6abdc857b014
  [45/168] model.layers.14.mlp.up_proj.weight: n=18874368 p0=0.3998 H0=1.5710 rans0=1.5726 rans1=1.5726 mism=0
  [46/168] model.layers.14.self_attn.k_proj.weight: n=524288 p0=0.4438 H0=1.5471 rans0=1.6017 rans1=1.5925 mism=0
  [47/168] model.layers.14.self_attn.o_proj.weight: n=4194304 p0=0.3962 H0=1.5725 rans0=1.5794 rans1=1.5793 mism=0
  [48/168] model.layers.14.self_attn.q_proj.weight: n=4194304 p0=0.4799 H0=1.5189 rans0=1.5257 rans1=1.5206 mism=0
  [49/168] model.layers.14.self_attn.v_proj.weight: n=524288 p0=0.3668 H0=1.5814 rans0=1.6371 rans1=1.6373 mism=0
  [50/168] model.layers.15.mlp.down_proj.weight: n=18874368 p0=0.4073 H0=1.5678 rans0=1.5693 rans1=1.5693 mism=0
  [51/168] model.layers.15.mlp.gate_proj.weight: n=18874368 p0=0.4181 H0=1.5625 rans0=1.5640 rans1=1.5639 mism=0
  [52/168] model.layers.15.mlp.up_proj.weight: n=18874368 p0=0.3999 H0=1.5710 rans0=1.5725 rans1=1.5725 mism=0
  [53/168] model.layers.15.self_attn.k_proj.weight: n=524288 p0=0.5822 H0=1.3982 rans0=1.4530 rans1=1.4192 mism=0
  [54/168] model.layers.15.self_attn.o_proj.weight: n=4194304 p0=0.4042 H0=1.5692 rans0=1.5760 rans1=1.5760 mism=0
  [55/168] model.layers.15.self_attn.q_proj.weight: n=4194304 p0=0.5149 H0=1.4845 rans0=1.4913 rans1=1.4798 mism=0
  [56/168] model.layers.15.self_attn.v_proj.weight: n=524288 p0=0.4633 H0=1.5328 rans0=1.5874 rans1=1.5876 mism=0
  [57/168] model.layers.16.mlp.down_proj.weight: n=18874368 p0=0.4342 H0=1.5533 rans0=1.5548 rans1=1.5548 mism=0
  [58/168] model.layers.16.mlp.gate_proj.weight: n=18874368 p0=0.4489 H0=1.5435 rans0=1.5451 rans1=1.5450 mism=0
  [59/168] model.layers.16.mlp.up_proj.weight: n=18874368 p0=0.4016 H0=1.5703 rans0=1.5718 rans1=1.5718 mism=0
  [60/168] model.layers.16.self_attn.k_proj.weight: n=524288 p0=0.4807 H0=1.5182 rans0=1.5728 rans1=1.5366 mism=0
  [61/168] model.layers.16.self_attn.o_proj.weight: n=4194304 p0=0.4541 H0=1.5398 rans0=1.5467 rans1=1.5466 mism=0
  [62/168] model.layers.16.self_attn.q_proj.weight: n=4194304 p0=0.5125 H0=1.4871 rans0=1.4939 rans1=1.4815 mism=0
  [63/168] model.layers.16.self_attn.v_proj.weight: n=524288 p0=0.4960 H0=1.5040 rans0=1.5588 rans1=1.5590 mism=0
  [64/168] model.layers.17.mlp.down_proj.weight: n=18874368 p0=0.4379 H0=1.5509 rans0=1.5524 rans1=1.5524 mism=0
  [65/168] model.layers.17.mlp.gate_proj.weight: n=18874368 p0=0.4151 H0=1.5640 rans0=1.5655 rans1=1.5655 mism=0
  [66/168] model.layers.17.mlp.up_proj.weight: n=18874368 p0=0.4270 H0=1.5576 rans0=1.5591 rans1=1.5591 mism=0
  [67/168] model.layers.17.self_attn.k_proj.weight: n=524288 p0=0.5542 H0=1.4373 rans0=1.4922 rans1=1.4836 mism=0
  [68/168] model.layers.17.self_attn.o_proj.weight: n=4194304 p0=0.3920 H0=1.5741 rans0=1.5809 rans1=1.5809 mism=0
  [69/168] model.layers.17.self_attn.q_proj.weight: n=4194304 p0=0.5203 H0=1.4785 rans0=1.4853 rans1=1.4793 mism=0
  [70/168] model.layers.17.self_attn.v_proj.weight: n=524288 p0=0.4513 H0=1.5418 rans0=1.5970 rans1=1.5971 mism=0
  [71/168] model.layers.18.mlp.down_proj.weight: n=18874368 p0=0.4426 H0=1.5479 rans0=1.5494 rans1=1.5494 mism=0
  [72/168] model.layers.18.mlp.gate_proj.weight: n=18874368 p0=0.4158 H0=1.5636 rans0=1.5652 rans1=1.5651 mism=0
  [73/168] model.layers.18.mlp.up_proj.weight: n=18874368 p0=0.4060 H0=1.5683 rans0=1.5699 rans1=1.5698 mism=0
  [74/168] model.layers.18.self_attn.k_proj.weight: n=524288 p0=0.4921 H0=1.5077 rans0=1.5626 rans1=1.5583 mism=0
  [75/168] model.layers.18.self_attn.o_proj.weight: n=4194304 p0=0.3838 H0=1.5769 rans0=1.5838 rans1=1.5838 mism=0
  [76/168] model.layers.18.self_attn.q_proj.weight: n=4194304 p0=0.4617 H0=1.5341 rans0=1.5410 rans1=1.5372 mism=0
  [77/168] model.layers.18.self_attn.v_proj.weight: n=524288 p0=0.3476 H0=1.5843 rans0=1.6405 rans1=1.6406 mism=0
  [78/168] model.layers.19.mlp.down_proj.weight: n=18874368 p0=0.4335 H0=1.5537 rans0=1.5553 rans1=1.5553 mism=0
  [79/168] model.layers.19.mlp.gate_proj.weight: n=18874368 p0=0.4182 H0=1.5624 rans0=1.5639 rans1=1.5638 mism=0
  [80/168] model.layers.19.mlp.up_proj.weight: n=18874368 p0=0.4274 H0=1.5574 rans0=1.5589 rans1=1.5588 mism=0
  [81/168] model.layers.19.self_attn.k_proj.weight: n=524288 p0=0.5097 H0=1.4900 rans0=1.5446 rans1=1.5257 mism=0
  [82/168] model.layers.19.self_attn.o_proj.weight: n=4194304 p0=0.4451 H0=1.5462 rans0=1.5531 rans1=1.5530 mism=0
  [83/168] model.layers.19.self_attn.q_proj.weight: n=4194304 p0=0.4928 H0=1.5070 rans0=1.5139 rans1=1.5057 mism=0
  [84/168] model.layers.19.self_attn.v_proj.weight: n=524288 p0=0.3526 H0=1.5838 rans0=1.6373 rans1=1.6372 mism=0
  [85/168] model.layers.2.mlp.down_proj.weight: n=18874368 p0=0.3840 H0=1.5768 rans0=1.5783 rans1=1.5783 mism=0
  [86/168] model.layers.2.mlp.gate_proj.weight: n=18874368 p0=0.3670 H0=1.5813 rans0=1.5829 rans1=1.5829 mism=0
  [87/168] model.layers.2.mlp.up_proj.weight: n=18874368 p0=0.3702 H0=1.5806 rans0=1.5822 rans1=1.5822 mism=0
  [88/168] model.layers.2.self_attn.k_proj.weight: n=524288 p0=0.3805 H0=1.5779 rans0=1.6329 rans1=1.6211 mism=0
  [89/168] model.layers.2.self_attn.o_proj.weight: n=4194304 p0=0.3825 H0=1.5773 rans0=1.5842 rans1=1.5840 mism=0
  [90/168] model.layers.2.self_attn.q_proj.weight: n=4194304 p0=0.3747 H0=1.5795 rans0=1.5864 rans1=1.5848 mism=0
  [91/168] model.layers.2.self_attn.v_proj.weight: n=524288 p0=0.3944 H0=1.5732 rans0=1.6282 rans1=1.6284 mism=0
  [92/168] model.layers.20.mlp.down_proj.weight: n=18874368 p0=0.4381 H0=1.5508 rans0=1.5524 rans1=1.5524 mism=0
  [93/168] model.layers.20.mlp.gate_proj.weight: n=18874368 p0=0.4623 H0=1.5336 rans0=1.5351 rans1=1.5350 mism=0
  [94/168] model.layers.20.mlp.up_proj.weight: n=18874368 p0=0.4251 H0=1.5586 rans0=1.5602 rans1=1.5601 mism=0
  [95/168] model.layers.20.self_attn.k_proj.weight: n=524288 p0=0.5368 H0=1.4592 rans0=1.5141 rans1=1.4928 mism=0
  [96/168] model.layers.20.self_attn.o_proj.weight: n=4194304 p0=0.3922 H0=1.5740 rans0=1.5809 rans1=1.5809 mism=0
  [97/168] model.layers.20.self_attn.q_proj.weight: n=4194304 p0=0.5024 H0=1.4976 rans0=1.5044 rans1=1.4993 mism=0
  [98/168] model.layers.20.self_attn.v_proj.weight: n=524288 p0=0.3552 H0=1.5834 rans0=1.6366 rans1=1.6369 mism=0
  [99/168] model.layers.21.mlp.down_proj.weight: n=18874368 p0=0.4610 H0=1.5346 rans0=1.5362 rans1=1.5362 mism=0
  [100/168] model.layers.21.mlp.gate_proj.weight: n=18874368 p0=0.4430 H0=1.5476 rans0=1.5492 rans1=1.5491 mism=0
  [101/168] model.layers.21.mlp.up_proj.weight: n=18874368 p0=0.3987 H0=1.5715 rans0=1.5730 rans1=1.5730 mism=0
  [102/168] model.layers.21.self_attn.k_proj.weight: n=524288 p0=0.5819 H0=1.3987 rans0=1.4538 rans1=1.4286 mism=0
