bin,count
"[0.00,0.05)",547
"[0.05,0.10)",211
"[0.10,0.15)",228
"[0.15,0.20)",591
"[0.20,0.25)",2139
"[0.25,0.30)",13313
"[0.30,0.35)",57042
"[0.35,0.40)",248017
"[0.40,0.45)",266452
"[0.45,0.50)",36822
"[0.50,0.55)",13467
"[0.55,0.60)",8447
"[0.60,0.65)",5966
"[0.65,0.70)",3302
"[0.70,0.75)",2728
"[0.75,0.80)",2063
"[0.80,0.85)",1246
"[0.85,0.90)",622
"[0.90,0.95)",291
"[0.95,1.00)",20026
