bin,count
"[0.00,0.05)",2
"[0.05,0.10)",66
"[0.10,0.15)",158
"[0.15,0.20)",400
"[0.20,0.25)",1293
"[0.25,0.30)",7674
"[0.30,0.35)",69661
"[0.35,0.40)",203979
"[0.40,0.45)",242045
"[0.45,0.50)",88561
"[0.50,0.55)",30632
"[0.55,0.60)",4803
"[0.60,0.65)",3109
"[0.65,0.70)",920
"[0.70,0.75)",733
"[0.75,0.80)",509
"[0.80,0.85)",472
"[0.85,0.90)",526
"[0.90,0.95)",675
"[0.95,1.00)",11942
