name,abs_start,abs_end
model.layers.6.self_attn.q_proj.weight_scale,1635281,1635285
model.layers.6.self_attn.v_proj.weight_scale,1635285,1635289
model.layers.7.self_attn.k_proj.weight_scale,1693669,1693673
model.layers.7.self_attn.o_proj.weight_scale,1693673,1693677
model.layers.7.self_attn.q_proj.weight_scale,1693677,1693681
model.layers.7.self_attn.v_proj.weight_scale,1693681,1693685
model.layers.8.self_attn.k_proj.weight_scale,1752065,1752069
model.layers.8.self_attn.o_proj.weight_scale,1752069,1752073
model.layers.8.self_attn.q_proj.weight_scale,1752073,1752077
model.layers.8.self_attn.v_proj.weight_scale,1752077,1752081
model.layers.9.self_attn.k_proj.weight_scale,1810461,1810465
model.layers.9.self_attn.o_proj.weight_scale,1810465,1810469
model.layers.9.self_attn.q_proj.weight_scale,1810469,1810473
model.layers.9.self_attn.v_proj.weight_scale,1810473,1810477
