[cooldown] source      : /home/killboxincorporated/model-lab/tinybit/checkpoints/m7a_twin.pt
[cooldown] source step : 122071
[cooldown] params      : 6529920 (6.530M) linear=fp
[cooldown] arch        : layers=6 hidden=256 inter=704 heads=4 kv=2 vocab=8192
[cooldown] val_hist    : 244 entries, last 5.5130
[cooldown] PLAN        : 4000 steps, lr 1.000e-04 -> 0 (cosine), wd 0.0 (was 0.1), B=8 T=512 threads=4
[cooldown] extra tokens: 16,384,000 (CONSERVATIVE: favours the twin)
[cooldown] output      : /home/killboxincorporated/model-lab/tinybit/checkpoints/m7a_twin_cooled.pt
[cooldown] first LRs   : 1.0000e-04, 1.0000e-04, 1.0000e-04, 1.0000e-04, 1.0000e-04
[cooldown] final LR    : 1.5421e-11
[cooldown] copied source -> output (original untouched)
[cooldown] optimizer moments restored from checkpoint
[cooldown] RNG state restored
[cooldown] BASELINE val_ppl (before any cooldown step): 5.5558
  [val] cool 500 | val_ppl 5.4419 | baseline 5.5558 | delta -0.1140
cool   500/4000 | loss 1.4009 | lr 9.619e-05 | wd 0.000 | gnorm 2.11 | 1364.2s
cool   510/4000 | loss 1.2978 | lr 9.604e-05 | wd 0.000 | gnorm 2.12 | 1385.9s
cool   520/4000 | loss 1.5306 | lr 9.589e-05 | wd 0.000 | gnorm 2.32 | 1413.3s
cool   530/4000 | loss 1.3950 | lr 9.573e-05 | wd 0.000 | gnorm 2.12 | 1442.7s
cool   540/4000 | loss 1.5699 | lr 9.557e-05 | wd 0.000 | gnorm 2.21 | 1466.2s
cool   550/4000 | loss 1.3971 | lr 9.541e-05 | wd 0.000 | gnorm 2.13 | 1494.4s
cool   560/4000 | loss 1.4277 | lr 9.524e-05 | wd 0.000 | gnorm 2.15 | 1518.3s
cool   570/4000 | loss 1.3954 | lr 9.507e-05 | wd 0.000 | gnorm 2.04 | 1542.7s
cool   580/4000 | loss 1.4195 | lr 9.490e-05 | wd 0.000 | gnorm 2.04 | 1566.4s
cool   590/4000 | loss 1.3751 | lr 9.473e-05 | wd 0.000 | gnorm 2.35 | 1589.0s
cool   600/4000 | loss 1.6787 | lr 9.455e-05 | wd 0.000 | gnorm 2.29 | 1612.9s
cool   610/4000 | loss 1.4830 | lr 9.437e-05 | wd 0.000 | gnorm 2.21 | 1635.0s
cool   620/4000 | loss 1.5547 | lr 9.419e-05 | wd 0.000 | gnorm 2.25 | 1657.1s
cool   630/4000 | loss 1.5074 | lr 9.400e-05 | wd 0.000 | gnorm 2.09 | 1679.2s
cool   640/4000 | loss 1.5025 | lr 9.382e-05 | wd 0.000 | gnorm 2.12 | 1701.4s
cool   650/4000 | loss 1.3256 | lr 9.362e-05 | wd 0.000 | gnorm 2.55 | 1722.9s
cool   660/4000 | loss 1.3928 | lr 9.343e-05 | wd 0.000 | gnorm 2.01 | 1744.5s
cool   670/4000 | loss 1.4416 | lr 9.324e-05 | wd 0.000 | gnorm 2.10 | 1766.1s
cool   680/4000 | loss 1.3551 | lr 9.304e-05 | wd 0.000 | gnorm 2.14 | 1790.3s
cool   690/4000 | loss 1.2981 | lr 9.284e-05 | wd 0.000 | gnorm 1.99 | 1816.2s
cool   700/4000 | loss 1.4802 | lr 9.263e-05 | wd 0.000 | gnorm 2.13 | 1844.0s
cool   710/4000 | loss 1.3755 | lr 9.243e-05 | wd 0.000 | gnorm 2.24 | 1868.4s
cool   720/4000 | loss 1.4630 | lr 9.222e-05 | wd 0.000 | gnorm 2.18 | 1891.7s
cool   730/4000 | loss 1.6074 | lr 9.200e-05 | wd 0.000 | gnorm 2.33 | 1915.4s
cool   740/4000 | loss 1.4185 | lr 9.179e-05 | wd 0.000 | gnorm 2.12 | 1937.7s
  [val] cool 750 | val_ppl 5.5567 | baseline 5.5558 | delta +0.0009
cool   750/4000 | loss 1.2510 | lr 9.157e-05 | wd 0.000 | gnorm 1.92 | 1960.5s
cool   760/4000 | loss 1.4982 | lr 9.135e-05 | wd 0.000 | gnorm 2.10 | 1983.1s
cool   770/4000 | loss 1.5077 | lr 9.113e-05 | wd 0.000 | gnorm 2.26 | 2005.4s
cool   780/4000 | loss 1.4941 | lr 9.091e-05 | wd 0.000 | gnorm 2.29 | 2028.7s
cool   790/4000 | loss 1.4768 | lr 9.068e-05 | wd 0.000 | gnorm 2.24 | 2051.6s
cool   800/4000 | loss 1.3321 | lr 9.045e-05 | wd 0.000 | gnorm 2.03 | 2074.5s
cool   810/4000 | loss 1.5187 | lr 9.022e-05 | wd 0.000 | gnorm 2.17 | 2097.9s
cool   820/4000 | loss 1.4257 | lr 8.998e-05 | wd 0.000 | gnorm 2.15 | 2120.8s
