[train] model params: 14171392 (14.17M) | linear=bitlinear | sched=two_stage | B=8 T=512 threads=4
step   590/122071 | loss 3.1464 | lr 5.90e-04 | wd 0.100 | gnorm 1.67 | 2386.9s
step   600/122071 | loss 3.1914 | lr 6.00e-04 | wd 0.100 | gnorm 1.74 | 2427.0s
step   610/122071 | loss 3.1350 | lr 6.10e-04 | wd 0.100 | gnorm 1.73 | 2466.7s
step   620/122071 | loss 3.2227 | lr 6.20e-04 | wd 0.100 | gnorm 1.69 | 2506.8s
step   630/122071 | loss 3.1982 | lr 6.30e-04 | wd 0.100 | gnorm 1.48 | 2546.9s
step   640/122071 | loss 3.0855 | lr 6.40e-04 | wd 0.100 | gnorm 1.74 | 2587.0s
step   650/122071 | loss 3.1567 | lr 6.50e-04 | wd 0.100 | gnorm 1.42 | 2626.9s
step   660/122071 | loss 3.0233 | lr 6.60e-04 | wd 0.100 | gnorm 1.80 | 2666.3s
step   670/122071 | loss 3.2340 | lr 6.70e-04 | wd 0.100 | gnorm 1.45 | 2706.2s
step   680/122071 | loss 3.2668 | lr 6.80e-04 | wd 0.100 | gnorm 1.59 | 2746.2s
step   690/122071 | loss 2.8913 | lr 6.90e-04 | wd 0.100 | gnorm 2.18 | 2786.2s
step   700/122071 | loss 3.1975 | lr 7.00e-04 | wd 0.100 | gnorm 1.51 | 2826.5s
step   710/122071 | loss 3.0556 | lr 7.10e-04 | wd 0.100 | gnorm 1.40 | 2866.4s
step   720/122071 | loss 3.2426 | lr 7.20e-04 | wd 0.100 | gnorm 1.48 | 2907.1s
step   730/122071 | loss 2.8960 | lr 7.30e-04 | wd 0.100 | gnorm 1.47 | 2947.5s
step   740/122071 | loss 2.9589 | lr 7.40e-04 | wd 0.100 | gnorm 1.60 | 2987.4s
step   750/122071 | loss 3.0712 | lr 7.50e-04 | wd 0.100 | gnorm 1.39 | 3027.5s
step   760/122071 | loss 3.1696 | lr 7.60e-04 | wd 0.100 | gnorm 1.57 | 3068.5s
step   770/122071 | loss 2.9346 | lr 7.70e-04 | wd 0.100 | gnorm 1.56 | 3108.5s
step   780/122071 | loss 3.1898 | lr 7.80e-04 | wd 0.100 | gnorm 1.27 | 3148.8s
step   790/122071 | loss 2.9325 | lr 7.90e-04 | wd 0.100 | gnorm 1.34 | 3188.9s
step   800/122071 | loss 2.8681 | lr 8.00e-04 | wd 0.100 | gnorm 1.36 | 3229.2s
step   810/122071 | loss 2.8727 | lr 8.10e-04 | wd 0.100 | gnorm 1.29 | 3268.8s
step   820/122071 | loss 3.0667 | lr 8.20e-04 | wd 0.100 | gnorm 1.37 | 3312.1s
step   830/122071 | loss 3.0523 | lr 8.30e-04 | wd 0.100 | gnorm 1.28 | 3352.3s
step   840/122071 | loss 2.9228 | lr 8.40e-04 | wd 0.100 | gnorm 1.28 | 3391.9s
step   850/122071 | loss 2.7618 | lr 8.50e-04 | wd 0.100 | gnorm 1.36 | 3431.9s
step   860/122071 | loss 3.1038 | lr 8.60e-04 | wd 0.100 | gnorm 1.38 | 3471.5s
step   870/122071 | loss 2.9607 | lr 8.70e-04 | wd 0.100 | gnorm 1.30 | 3510.7s
step   880/122071 | loss 2.8694 | lr 8.80e-04 | wd 0.100 | gnorm 1.29 | 3551.5s
step   890/122071 | loss 2.7899 | lr 8.90e-04 | wd 0.100 | gnorm 1.19 | 3591.3s
step   900/122071 | loss 2.7755 | lr 9.00e-04 | wd 0.100 | gnorm 1.55 | 3632.1s
step   910/122071 | loss 2.8694 | lr 9.10e-04 | wd 0.100 | gnorm 1.36 | 3672.2s
step   920/122071 | loss 3.0171 | lr 9.20e-04 | wd 0.100 | gnorm 1.24 | 3712.2s
step   930/122071 | loss 2.8885 | lr 9.30e-04 | wd 0.100 | gnorm 1.43 | 3752.3s
step   940/122071 | loss 2.8807 | lr 9.40e-04 | wd 0.100 | gnorm 1.24 | 3792.8s
step   950/122071 | loss 2.7678 | lr 9.50e-04 | wd 0.100 | gnorm 1.35 | 3832.4s
step   960/122071 | loss 2.9269 | lr 9.60e-04 | wd 0.100 | gnorm 1.17 | 3872.4s
step   970/122071 | loss 2.8455 | lr 9.70e-04 | wd 0.100 | gnorm 1.27 | 3912.4s
step   980/122071 | loss 2.8875 | lr 9.80e-04 | wd 0.100 | gnorm 1.25 | 3952.9s
step   990/122071 | loss 2.7396 | lr 9.90e-04 | wd 0.100 | gnorm 1.08 | 3992.4s
  [val] step 1000 | val_ppl 25.345 (prev 45.903)
step  1000/122071 | loss 3.0192 | lr 1.00e-03 | wd 0.100 | gnorm 1.37 | 4031.9s
step  1010/122071 | loss 2.6497 | lr 1.01e-03 | wd 0.100 | gnorm 1.44 | 4071.4s
step  1020/122071 | loss 2.7599 | lr 1.02e-03 | wd 0.100 | gnorm 1.12 | 4110.8s
step  1030/122071 | loss 2.6692 | lr 1.03e-03 | wd 0.100 | gnorm 1.03 | 4150.9s
step  1040/122071 | loss 2.6257 | lr 1.04e-03 | wd 0.100 | gnorm 1.16 | 4190.9s
step  1050/122071 | loss 2.8916 | lr 1.05e-03 | wd 0.100 | gnorm 1.06 | 4230.8s
step  1060/122071 | loss 2.7213 | lr 1.06e-03 | wd 0.100 | gnorm 1.18 | 4271.0s
step  1070/122071 | loss 2.7386 | lr 1.07e-03 | wd 0.100 | gnorm 1.08 | 4316.1s
step  1080/122071 | loss 2.6476 | lr 1.08e-03 | wd 0.100 | gnorm 1.04 | 4356.4s
step  1090/122071 | loss 2.9075 | lr 1.09e-03 | wd 0.100 | gnorm 0.97 | 4397.5s
step  1100/122071 | loss 2.7882 | lr 1.10e-03 | wd 0.100 | gnorm 1.21 | 4437.1s
step  1110/122071 | loss 2.5903 | lr 1.11e-03 | wd 0.100 | gnorm 1.03 | 4478.1s
step  1120/122071 | loss 2.8097 | lr 1.12e-03 | wd 0.100 | gnorm 0.94 | 4518.3s
step  1130/122071 | loss 2.8425 | lr 1.13e-03 | wd 0.100 | gnorm 1.06 | 4558.4s
step  1140/122071 | loss 2.6808 | lr 1.14e-03 | wd 0.100 | gnorm 1.09 | 4599.1s
step  1150/122071 | loss 2.8041 | lr 1.15e-03 | wd 0.100 | gnorm 1.10 | 4640.6s
step  1160/122071 | loss 2.6212 | lr 1.16e-03 | wd 0.100 | gnorm 1.04 | 4680.1s
step  1170/122071 | loss 2.6240 | lr 1.17e-03 | wd 0.100 | gnorm 1.05 | 4720.0s
step  1180/122071 | loss 2.6897 | lr 1.18e-03 | wd 0.100 | gnorm 1.11 | 4760.5s
step  1190/122071 | loss 2.7684 | lr 1.19e-03 | wd 0.100 | gnorm 1.03 | 4799.6s
step  1200/122071 | loss 2.6705 | lr 1.20e-03 | wd 0.100 | gnorm 0.96 | 4839.2s
step  1210/122071 | loss 2.6684 | lr 1.21e-03 | wd 0.100 | gnorm 0.98 | 4880.5s
step  1220/122071 | loss 2.8277 | lr 1.22e-03 | wd 0.100 | gnorm 1.06 | 4920.9s
step  1230/122071 | loss 2.6530 | lr 1.23e-03 | wd 0.100 | gnorm 1.03 | 4961.5s
step  1240/122071 | loss 2.7065 | lr 1.24e-03 | wd 0.100 | gnorm 1.02 | 5002.6s
step  1250/122071 | loss 2.7036 | lr 1.25e-03 | wd 0.100 | gnorm 0.96 | 5042.9s
step  1260/122071 | loss 2.5351 | lr 1.26e-03 | wd 0.100 | gnorm 0.95 | 5083.2s
step  1270/122071 | loss 2.7485 | lr 1.27e-03 | wd 0.100 | gnorm 0.92 | 5122.6s
step  1280/122071 | loss 2.6502 | lr 1.28e-03 | wd 0.100 | gnorm 0.95 | 5163.0s
