=== M7a twin smoke test — 2026-07-18 ===
host: Crostini VM i5-10210U 4C/8T AVX2, 6.4GB RAM; aegis-ppl-rerun ACTIVE (~1GB RSS) throughout
config: configs/m7a_twin.json overrides: --steps 200 --warmup 20 --eval-every 100 --save-every 100 --log-every 1 --threads 4
env: OMP_NUM_THREADS=4 MKL_NUM_THREADS=4
plan: run to ~step 105-115, SIGKILL (crash sim) after step-100 ckpt saved, then --resume to 200

--- RUN 1 (fresh, target kill after step-100 checkpoint) ---
[train] model params: 6529920 (6.53M) | linear=fp | sched=cosine | B=8 T=512 threads=4
step    56/200 | loss 5.8030 | lr 9.14e-04 | wd 0.100 | gnorm 0.67 | 188.9s
step    57/200 | loss 5.6254 | lr 9.09e-04 | wd 0.100 | gnorm 0.68 | 192.0s
step    58/200 | loss 5.6588 | lr 9.05e-04 | wd 0.100 | gnorm 0.68 | 195.1s
step    59/200 | loss 5.6381 | lr 9.00e-04 | wd 0.100 | gnorm 0.59 | 198.1s
step    60/200 | loss 5.6518 | lr 8.95e-04 | wd 0.100 | gnorm 0.72 | 201.0s
step    61/200 | loss 5.4623 | lr 8.90e-04 | wd 0.100 | gnorm 0.80 | 204.1s
step    62/200 | loss 5.4574 | lr 8.84e-04 | wd 0.100 | gnorm 0.74 | 207.2s
step    63/200 | loss 5.4148 | lr 8.79e-04 | wd 0.100 | gnorm 0.67 | 210.1s
step    64/200 | loss 5.3830 | lr 8.74e-04 | wd 0.100 | gnorm 0.59 | 213.3s
step    65/200 | loss 5.4337 | lr 8.68e-04 | wd 0.100 | gnorm 0.97 | 216.8s
step    66/200 | loss 5.4178 | lr 8.63e-04 | wd 0.100 | gnorm 0.80 | 219.9s
step    67/200 | loss 5.3759 | lr 8.57e-04 | wd 0.100 | gnorm 0.67 | 222.9s
step    68/200 | loss 5.3347 | lr 8.51e-04 | wd 0.100 | gnorm 0.73 | 226.1s
step    69/200 | loss 5.3082 | lr 8.45e-04 | wd 0.100 | gnorm 0.75 | 229.3s
step    70/200 | loss 5.3469 | lr 8.39e-04 | wd 0.100 | gnorm 0.70 | 232.3s
step    71/200 | loss 5.3855 | lr 8.33e-04 | wd 0.100 | gnorm 1.14 | 235.2s
step    72/200 | loss 5.4653 | lr 8.27e-04 | wd 0.100 | gnorm 0.85 | 238.3s
step    73/200 | loss 5.3814 | lr 8.21e-04 | wd 0.100 | gnorm 1.07 | 241.3s
step    74/200 | loss 5.4035 | lr 8.15e-04 | wd 0.100 | gnorm 0.59 | 244.3s
step    75/200 | loss 5.3035 | lr 8.08e-04 | wd 0.100 | gnorm 0.73 | 247.4s
step    76/200 | loss 5.4288 | lr 8.02e-04 | wd 0.100 | gnorm 0.67 | 250.4s
step    77/200 | loss 5.1054 | lr 7.95e-04 | wd 0.100 | gnorm 0.83 | 253.6s
step    78/200 | loss 5.2631 | lr 7.88e-04 | wd 0.100 | gnorm 0.68 | 256.7s
step    79/200 | loss 5.1787 | lr 7.82e-04 | wd 0.100 | gnorm 0.58 | 259.7s
step    80/200 | loss 5.1393 | lr 7.75e-04 | wd 0.100 | gnorm 0.69 | 262.6s
step    81/200 | loss 5.1200 | lr 7.68e-04 | wd 0.100 | gnorm 0.72 | 265.7s
step    82/200 | loss 5.3452 | lr 7.61e-04 | wd 0.100 | gnorm 0.75 | 268.9s
step    83/200 | loss 5.0511 | lr 7.54e-04 | wd 0.100 | gnorm 0.70 | 272.0s
step    84/200 | loss 5.0953 | lr 7.47e-04 | wd 0.100 | gnorm 0.80 | 275.1s
step    85/200 | loss 5.0027 | lr 7.40e-04 | wd 0.100 | gnorm 0.73 | 277.9s
step    86/200 | loss 4.9644 | lr 7.33e-04 | wd 0.100 | gnorm 0.65 | 281.0s
step    87/200 | loss 5.0139 | lr 7.26e-04 | wd 0.100 | gnorm 0.62 | 283.7s
step    88/200 | loss 5.2173 | lr 7.19e-04 | wd 0.100 | gnorm 0.61 | 286.7s
step    89/200 | loss 5.2102 | lr 7.11e-04 | wd 0.100 | gnorm 0.69 | 289.9s
step    90/200 | loss 5.1267 | lr 7.04e-04 | wd 0.100 | gnorm 0.83 | 292.8s
step    91/200 | loss 4.9536 | lr 6.97e-04 | wd 0.100 | gnorm 0.69 | 295.6s
step    92/200 | loss 5.0330 | lr 6.89e-04 | wd 0.100 | gnorm 0.72 | 298.5s
step    93/200 | loss 5.0575 | lr 6.82e-04 | wd 0.100 | gnorm 0.77 | 301.3s
step    94/200 | loss 5.0376 | lr 6.74e-04 | wd 0.100 | gnorm 0.78 | 304.2s
step    95/200 | loss 4.9326 | lr 6.66e-04 | wd 0.100 | gnorm 0.74 | 307.0s
step    96/200 | loss 5.0193 | lr 6.59e-04 | wd 0.100 | gnorm 0.71 | 310.0s
step    97/200 | loss 4.9840 | lr 6.51e-04 | wd 0.100 | gnorm 0.76 | 312.8s
step    98/200 | loss 4.8056 | lr 6.44e-04 | wd 0.100 | gnorm 0.92 | 315.8s
step    99/200 | loss 4.9858 | lr 6.36e-04 | wd 0.100 | gnorm 0.78 | 318.8s
  [val] step 100 | val_ppl 192.215
step   100/200 | loss 4.8728 | lr 6.28e-04 | wd 0.100 | gnorm 0.81 | 322.8s
step   101/200 | loss 4.7700 | lr 6.20e-04 | wd 0.100 | gnorm 0.72 | 325.7s
step   102/200 | loss 4.7870 | lr 6.13e-04 | wd 0.100 | gnorm 0.82 | 328.7s
step   103/200 | loss 4.9228 | lr 6.05e-04 | wd 0.100 | gnorm 0.86 | 331.8s
step   104/200 | loss 4.7873 | lr 5.97e-04 | wd 0.100 | gnorm 0.79 | 334.8s
step   105/200 | loss 4.9017 | lr 5.89e-04 | wd 0.100 | gnorm 0.66 | 337.7s
--- RUN 1 KILLED (SIGKILL, crash simulation) after step-100 ckpt; sampled RSS at kill: 1680 kB, VmSwap: 440 kB, sampled max RSS during run: 2172 kB ---
step   106/200 | loss 4.9425 | lr 5.81e-04 | wd 0.100 | gnorm 0.89 | 340.7s
step   107/200 | loss 4.8239 | lr 5.74e-04 | wd 0.100 | gnorm 0.93 | 343.8s
--- RUN 1 KILLED (SIGKILL to python pid 8619, crash simulation) after step-100 ckpt saved; VmRSS at kill: 1625296 kB, VmSwap: 185652 kB ---
NOTE: the first "RUN 1 KILLED" line above (1680 kB) was an automation artifact: it killed and measured the bash wrapper (pid 8617), not the trainer. The authoritative kill is the second line: python pid 8619, VmRSS 1,625,296 kB (~1.55 GB) + VmSwap 185,652 kB at kill.

--- RUN 2 (resume from step-100 checkpoint after SIGKILL) ---
[train] model params: 6529920 (6.53M) | linear=fp | sched=cosine | B=8 T=512 threads=4
[train] resumed from step 100
step   100/200 | loss 4.9254 | lr 6.28e-04 | wd 0.100 | gnorm 0.77 | 3.9s
step   101/200 | loss 4.8440 | lr 6.20e-04 | wd 0.100 | gnorm 0.95 | 7.5s
step   102/200 | loss 4.9276 | lr 6.13e-04 | wd 0.100 | gnorm 0.73 | 10.7s
step   103/200 | loss 4.8700 | lr 6.05e-04 | wd 0.100 | gnorm 0.91 | 13.5s
step   104/200 | loss 4.8620 | lr 5.97e-04 | wd 0.100 | gnorm 0.99 | 16.4s
step   105/200 | loss 4.9948 | lr 5.89e-04 | wd 0.100 | gnorm 0.79 | 19.1s
step   106/200 | loss 4.8140 | lr 5.81e-04 | wd 0.100 | gnorm 0.94 | 21.6s
step   107/200 | loss 4.8868 | lr 5.74e-04 | wd 0.100 | gnorm 0.91 | 24.3s
step   108/200 | loss 4.8217 | lr 5.66e-04 | wd 0.100 | gnorm 0.78 | 27.1s
step   109/200 | loss 4.7884 | lr 5.58e-04 | wd 0.100 | gnorm 0.80 | 29.8s
step   110/200 | loss 4.6715 | lr 5.50e-04 | wd 0.100 | gnorm 0.90 | 32.6s
step   111/200 | loss 4.5695 | lr 5.42e-04 | wd 0.100 | gnorm 0.93 | 35.3s
step   112/200 | loss 4.7316 | lr 5.34e-04 | wd 0.100 | gnorm 1.01 | 37.9s
step   113/200 | loss 4.6150 | lr 5.26e-04 | wd 0.100 | gnorm 0.92 | 40.4s
step   114/200 | loss 4.7627 | lr 5.19e-04 | wd 0.100 | gnorm 1.02 | 43.0s
step   115/200 | loss 4.7484 | lr 5.11e-04 | wd 0.100 | gnorm 0.90 | 45.6s
step   116/200 | loss 4.6132 | lr 5.03e-04 | wd 0.100 | gnorm 0.88 | 48.4s
step   117/200 | loss 4.6357 | lr 4.95e-04 | wd 0.100 | gnorm 1.05 | 51.0s
step   118/200 | loss 4.9190 | lr 4.87e-04 | wd 0.100 | gnorm 0.92 | 53.6s
step   119/200 | loss 4.8611 | lr 4.80e-04 | wd 0.100 | gnorm 1.05 | 56.3s
step   120/200 | loss 4.6737 | lr 4.72e-04 | wd 0.100 | gnorm 1.02 | 58.7s
step   121/200 | loss 4.8220 | lr 4.64e-04 | wd 0.100 | gnorm 0.91 | 61.4s
step   122/200 | loss 4.5162 | lr 4.56e-04 | wd 0.100 | gnorm 0.89 | 64.2s
step   123/200 | loss 4.5784 | lr 4.49e-04 | wd 0.100 | gnorm 1.17 | 66.9s
step   124/200 | loss 4.6665 | lr 4.41e-04 | wd 0.100 | gnorm 0.98 | 69.5s
step   125/200 | loss 4.7528 | lr 4.34e-04 | wd 0.100 | gnorm 1.16 | 72.5s
step   126/200 | loss 4.6540 | lr 4.26e-04 | wd 0.100 | gnorm 0.81 | 75.2s
step   127/200 | loss 4.6522 | lr 4.18e-04 | wd 0.100 | gnorm 0.84 | 77.7s
step   128/200 | loss 4.8008 | lr 4.11e-04 | wd 0.100 | gnorm 0.97 | 80.4s
step   129/200 | loss 4.7148 | lr 4.03e-04 | wd 0.100 | gnorm 0.94 | 83.0s
step   130/200 | loss 4.6041 | lr 3.96e-04 | wd 0.100 | gnorm 0.77 | 85.7s
step   131/200 | loss 4.6353 | lr 3.89e-04 | wd 0.100 | gnorm 0.86 | 88.3s
step   132/200 | loss 4.6575 | lr 3.81e-04 | wd 0.100 | gnorm 0.80 | 91.0s
step   133/200 | loss 4.5763 | lr 3.74e-04 | wd 0.100 | gnorm 0.75 | 93.5s
step   134/200 | loss 4.4865 | lr 3.67e-04 | wd 0.100 | gnorm 0.92 | 96.1s
step   135/200 | loss 4.5814 | lr 3.60e-04 | wd 0.100 | gnorm 0.79 | 98.8s
step   136/200 | loss 4.6417 | lr 3.53e-04 | wd 0.100 | gnorm 1.04 | 101.6s
step   137/200 | loss 4.5436 | lr 3.46e-04 | wd 0.100 | gnorm 0.95 | 104.3s
step   138/200 | loss 4.5305 | lr 3.39e-04 | wd 0.100 | gnorm 0.86 | 107.1s
step   139/200 | loss 4.4568 | lr 3.32e-04 | wd 0.100 | gnorm 0.88 | 109.8s
step   140/200 | loss 4.5477 | lr 3.25e-04 | wd 0.100 | gnorm 0.97 | 112.5s
step   141/200 | loss 4.5474 | lr 3.18e-04 | wd 0.100 | gnorm 0.82 | 115.1s
step   142/200 | loss 4.4501 | lr 3.12e-04 | wd 0.100 | gnorm 0.76 | 117.7s
step   143/200 | loss 4.5679 | lr 3.05e-04 | wd 0.100 | gnorm 0.93 | 120.4s
step   144/200 | loss 4.4973 | lr 2.98e-04 | wd 0.100 | gnorm 0.88 | 123.3s
step   145/200 | loss 4.6017 | lr 2.92e-04 | wd 0.100 | gnorm 0.99 | 126.0s
step   146/200 | loss 4.6020 | lr 2.85e-04 | wd 0.100 | gnorm 0.99 | 128.7s
step   147/200 | loss 4.4996 | lr 2.79e-04 | wd 0.100 | gnorm 0.83 | 132.0s
step   148/200 | loss 4.4964 | lr 2.73e-04 | wd 0.100 | gnorm 0.99 | 135.0s
step   149/200 | loss 4.5710 | lr 2.67e-04 | wd 0.100 | gnorm 0.91 | 137.9s
step   150/200 | loss 4.3674 | lr 2.61e-04 | wd 0.100 | gnorm 1.15 | 140.8s
step   151/200 | loss 4.6146 | lr 2.55e-04 | wd 0.100 | gnorm 1.29 | 143.7s
step   152/200 | loss 4.3919 | lr 2.49e-04 | wd 0.100 | gnorm 0.94 | 146.6s
step   153/200 | loss 4.5526 | lr 2.43e-04 | wd 0.100 | gnorm 0.93 | 149.5s
step   154/200 | loss 4.3845 | lr 2.37e-04 | wd 0.100 | gnorm 1.14 | 152.6s
step   155/200 | loss 4.5309 | lr 2.32e-04 | wd 0.100 | gnorm 1.07 | 155.7s
step   156/200 | loss 4.2531 | lr 2.26e-04 | wd 0.100 | gnorm 1.23 | 158.7s
step   157/200 | loss 4.4346 | lr 2.21e-04 | wd 0.100 | gnorm 1.22 | 161.6s
step   158/200 | loss 4.3726 | lr 2.16e-04 | wd 0.100 | gnorm 0.85 | 164.6s
step   159/200 | loss 4.3991 | lr 2.10e-04 | wd 0.100 | gnorm 1.04 | 167.8s
step   160/200 | loss 4.3382 | lr 2.05e-04 | wd 0.100 | gnorm 0.91 | 170.8s
step   161/200 | loss 4.4829 | lr 2.00e-04 | wd 0.100 | gnorm 0.89 | 173.8s
step   162/200 | loss 4.2630 | lr 1.95e-04 | wd 0.100 | gnorm 0.82 | 176.7s
step   163/200 | loss 4.5024 | lr 1.91e-04 | wd 0.100 | gnorm 0.93 | 179.7s
step   164/200 | loss 4.4286 | lr 1.86e-04 | wd 0.100 | gnorm 1.00 | 182.7s
step   165/200 | loss 4.3440 | lr 1.81e-04 | wd 0.100 | gnorm 0.94 | 186.1s
step   166/200 | loss 4.4919 | lr 1.77e-04 | wd 0.100 | gnorm 0.96 | 189.5s
step   167/200 | loss 4.4780 | lr 1.73e-04 | wd 0.100 | gnorm 0.82 | 192.9s
step   168/200 | loss 4.6136 | lr 1.68e-04 | wd 0.100 | gnorm 0.88 | 196.1s
step   169/200 | loss 4.3311 | lr 1.64e-04 | wd 0.100 | gnorm 1.05 | 200.5s
step   170/200 | loss 4.5008 | lr 1.60e-04 | wd 0.100 | gnorm 0.95 | 205.5s
step   171/200 | loss 4.3665 | lr 1.56e-04 | wd 0.100 | gnorm 0.80 | 210.7s
step   172/200 | loss 4.4442 | lr 1.53e-04 | wd 0.100 | gnorm 1.00 | 215.3s
step   173/200 | loss 4.4789 | lr 1.49e-04 | wd 0.100 | gnorm 1.07 | 220.4s
step   174/200 | loss 4.3487 | lr 1.46e-04 | wd 0.100 | gnorm 1.22 | 225.9s
step   175/200 | loss 4.3732 | lr 1.42e-04 | wd 0.100 | gnorm 1.01 | 230.6s
step   176/200 | loss 4.4117 | lr 1.39e-04 | wd 0.100 | gnorm 0.84 | 236.3s
step   177/200 | loss 4.4740 | lr 1.36e-04 | wd 0.100 | gnorm 0.96 | 241.2s
step   178/200 | loss 4.2846 | lr 1.33e-04 | wd 0.100 | gnorm 1.11 | 245.7s
step   179/200 | loss 4.4089 | lr 1.30e-04 | wd 0.100 | gnorm 0.87 | 250.7s
step   180/200 | loss 4.3836 | lr 1.27e-04 | wd 0.100 | gnorm 0.84 | 256.5s
step   181/200 | loss 4.1560 | lr 1.25e-04 | wd 0.100 | gnorm 1.05 | 261.7s
step   182/200 | loss 4.3002 | lr 1.22e-04 | wd 0.100 | gnorm 0.97 | 267.4s
step   183/200 | loss 4.4488 | lr 1.20e-04 | wd 0.100 | gnorm 0.82 | 272.7s
step   184/200 | loss 4.4526 | lr 1.17e-04 | wd 0.100 | gnorm 1.05 | 277.3s
step   185/200 | loss 4.3545 | lr 1.15e-04 | wd 0.100 | gnorm 0.96 | 282.0s
step   186/200 | loss 4.0477 | lr 1.13e-04 | wd 0.100 | gnorm 1.01 | 286.8s
step   187/200 | loss 4.1408 | lr 1.12e-04 | wd 0.100 | gnorm 0.94 | 291.6s
step   188/200 | loss 4.2554 | lr 1.10e-04 | wd 0.100 | gnorm 0.88 | 296.1s
step   189/200 | loss 4.3876 | lr 1.08e-04 | wd 0.100 | gnorm 1.02 | 300.6s
step   190/200 | loss 4.3550 | lr 1.07e-04 | wd 0.100 | gnorm 1.08 | 305.6s
step   191/200 | loss 4.5389 | lr 1.06e-04 | wd 0.100 | gnorm 0.81 | 310.0s
step   192/200 | loss 4.3874 | lr 1.04e-04 | wd 0.100 | gnorm 1.01 | 314.6s
