==================================================
 A.L.I.C.E. Perplexity Evaluator (measured)
==================================================
Engine online. SIMD level: AVX2+FMA
Dataset: test.txt | total chars: 1254250
Progress: 265000/1254250 chars | chunk: 1459 tok (3.4 c/t) PPL 8.954 | overall: 66243 tok PPL 16.411
Progress: 270000/1254250 chars | chunk: 1363 tok (3.7 c/t) PPL 8.420 | overall: 67605 tok PPL 16.192
Progress: 275000/1254250 chars | chunk: 1445 tok (3.5 c/t) PPL 7.156 | overall: 69049 tok PPL 15.918
Progress: 280000/1254250 chars | chunk: 1265 tok (4.0 c/t) PPL 12.685 | overall: 70313 tok PPL 15.853
Progress: 285000/1254250 chars | chunk: 1198 tok (4.2 c/t) PPL 15.358 | overall: 71510 tok PPL 15.844
Progress: 290000/1254250 chars | chunk: 1340 tok (3.7 c/t) PPL 11.142 | overall: 72849 tok PPL 15.742
Progress: 295000/1254250 chars | chunk: 1207 tok (4.1 c/t) PPL 18.285 | overall: 74055 tok PPL 15.781
Progress: 300000/1254250 chars | chunk: 1107 tok (4.5 c/t) PPL 17.222 | overall: 75161 tok PPL 15.801
Progress: 305000/1254250 chars | chunk: 1271 tok (3.9 c/t) PPL 14.056 | overall: 76431 tok PPL 15.770
Progress: 310000/1254250 chars | chunk: 1274 tok (3.9 c/t) PPL 11.575 | overall: 77704 tok PPL 15.690
Progress: 315000/1254250 chars | chunk: 1318 tok (3.8 c/t) PPL 8.241 | overall: 79021 tok PPL 15.523
Progress: 320000/1254250 chars | chunk: 1288 tok (3.9 c/t) PPL 12.673 | overall: 80308 tok PPL 15.473
Progress: 325000/1254250 chars | chunk: 1366 tok (3.7 c/t) PPL 12.389 | overall: 81673 tok PPL 15.415
Progress: 330000/1254250 chars | chunk: 1367 tok (3.7 c/t) PPL 10.328 | overall: 83039 tok PPL 15.314
Progress: 335000/1254250 chars | chunk: 1363 tok (3.7 c/t) PPL 11.317 | overall: 84401 tok PPL 15.239
Progress: 340000/1254250 chars | chunk: 1274 tok (3.9 c/t) PPL 12.167 | overall: 85674 tok PPL 15.188
Progress: 345000/1254250 chars | chunk: 1314 tok (3.8 c/t) PPL 14.133 | overall: 86987 tok PPL 15.172
Progress: 350000/1254250 chars | chunk: 1299 tok (3.8 c/t) PPL 15.556 | overall: 88285 tok PPL 15.178
Progress: 355000/1254250 chars | chunk: 1210 tok (4.1 c/t) PPL 21.146 | overall: 89494 tok PPL 15.246
Progress: 360000/1254250 chars | chunk: 1150 tok (4.3 c/t) PPL 28.060 | overall: 90643 tok PPL 15.364
Progress: 365000/1254250 chars | chunk: 1233 tok (4.1 c/t) PPL 29.835 | overall: 91875 tok PPL 15.501
Progress: 370000/1254250 chars | chunk: 1240 tok (4.0 c/t) PPL 27.729 | overall: 93114 tok PPL 15.622
Progress: 375000/1254250 chars | chunk: 1181 tok (4.2 c/t) PPL 23.242 | overall: 94294 tok PPL 15.700
Progress: 380000/1254250 chars | chunk: 1301 tok (3.8 c/t) PPL 19.753 | overall: 95594 tok PPL 15.749
Progress: 385000/1254250 chars | chunk: 1266 tok (3.9 c/t) PPL 20.453 | overall: 96859 tok PPL 15.803
Progress: 390000/1254250 chars | chunk: 1211 tok (4.1 c/t) PPL 20.046 | overall: 98069 tok PPL 15.849
Progress: 395000/1254250 chars | chunk: 1216 tok (4.1 c/t) PPL 21.259 | overall: 99284 tok PPL 15.906
Progress: 400000/1254250 chars | chunk: 1113 tok (4.5 c/t) PPL 24.043 | overall: 100396 tok PPL 15.979
Progress: 405000/1254250 chars | chunk: 1190 tok (4.2 c/t) PPL 21.951 | overall: 101585 tok PPL 16.039
Progress: 410000/1254250 chars | chunk: 1108 tok (4.5 c/t) PPL 23.842 | overall: 102692 tok PPL 16.107
Progress: 415000/1254250 chars | chunk: 1132 tok (4.4 c/t) PPL 21.994 | overall: 103823 tok PPL 16.162
Progress: 420000/1254250 chars | chunk: 1224 tok (4.1 c/t) PPL 14.532 | overall: 105046 tok PPL 16.142
Progress: 425000/1254250 chars | chunk: 1241 tok (4.0 c/t) PPL 14.865 | overall: 106286 tok PPL 16.127
Progress: 430000/1254250 chars | chunk: 1250 tok (4.0 c/t) PPL 18.319 | overall: 107535 tok PPL 16.150
Progress: 435000/1254250 chars | chunk: 1294 tok (3.9 c/t) PPL 11.045 | overall: 108828 tok PPL 16.078
Progress: 440000/1254250 chars | chunk: 1317 tok (3.8 c/t) PPL 11.052 | overall: 110144 tok PPL 16.006
Progress: 445000/1254250 chars | chunk: 1212 tok (4.1 c/t) PPL 14.620 | overall: 111355 tok PPL 15.990
Progress: 450000/1254250 chars | chunk: 1149 tok (4.4 c/t) PPL 14.830 | overall: 112503 tok PPL 15.978
Progress: 455000/1254250 chars | chunk: 1196 tok (4.2 c/t) PPL 13.824 | overall: 113698 tok PPL 15.954
Progress: 460000/1254250 chars | chunk: 1261 tok (4.0 c/t) PPL 12.140 | overall: 114958 tok PPL 15.906
Progress: 465000/1254250 chars | chunk: 1312 tok (3.8 c/t) PPL 12.528 | overall: 116269 tok PPL 15.863
Progress: 470000/1254250 chars | chunk: 1220 tok (4.1 c/t) PPL 13.107 | overall: 117488 tok PPL 15.832
Progress: 475000/1254250 chars | chunk: 1293 tok (3.9 c/t) PPL 14.022 | overall: 118780 tok PPL 15.811
Progress: 480000/1254250 chars | chunk: 1359 tok (3.7 c/t) PPL 13.049 | overall: 120138 tok PPL 15.777
Progress: 485000/1254250 chars | chunk: 1367 tok (3.7 c/t) PPL 10.534 | overall: 121504 tok PPL 15.705
Progress: 490000/1254250 chars | chunk: 1282 tok (3.9 c/t) PPL 12.719 | overall: 122785 tok PPL 15.671
Progress: 495000/1254250 chars | chunk: 1213 tok (4.1 c/t) PPL 12.342 | overall: 123997 tok PPL 15.634
Progress: 500000/1254250 chars | chunk: 1231 tok (4.1 c/t) PPL 11.494 | overall: 125227 tok PPL 15.587
Progress: 505000/1254250 chars | chunk: 1511 tok (3.3 c/t) PPL 10.603 | overall: 126737 tok PPL 15.515
Progress: 510000/1254250 chars | chunk: 1375 tok (3.6 c/t) PPL 10.989 | overall: 128111 tok PPL 15.458
Progress: 515000/1254250 chars | chunk: 1213 tok (4.1 c/t) PPL 20.892 | overall: 129323 tok PPL 15.502
Progress: 520000/1254250 chars | chunk: 1261 tok (4.0 c/t) PPL 22.851 | overall: 130583 tok PPL 15.560
Progress: 525000/1254250 chars | chunk: 1254 tok (4.0 c/t) PPL 18.803 | overall: 131836 tok PPL 15.588
Progress: 530000/1254250 chars | chunk: 1263 tok (4.0 c/t) PPL 15.637 | overall: 133098 tok PPL 15.588
Progress: 535000/1254250 chars | chunk: 1193 tok (4.2 c/t) PPL 21.584 | overall: 134290 tok PPL 15.634
Progress: 540000/1254250 chars | chunk: 1198 tok (4.2 c/t) PPL 18.096 | overall: 135487 tok PPL 15.654
Progress: 545000/1254250 chars | chunk: 1341 tok (3.7 c/t) PPL 13.739 | overall: 136827 tok PPL 15.634
Progress: 550000/1254250 chars | chunk: 1254 tok (4.0 c/t) PPL 11.452 | overall: 138080 tok PPL 15.590
Progress: 555000/1254250 chars | chunk: 1308 tok (3.8 c/t) PPL 13.702 | overall: 139387 tok PPL 15.571
Progress: 560000/1254250 chars | chunk: 1275 tok (3.9 c/t) PPL 15.697 | overall: 140661 tok PPL 15.572
Progress: 565000/1254250 chars | chunk: 1299 tok (3.8 c/t) PPL 14.179 | overall: 141959 tok PPL 15.559
Progress: 570000/1254250 chars | chunk: 1280 tok (3.9 c/t) PPL 13.761 | overall: 143238 tok PPL 15.542
Progress: 575000/1254250 chars | chunk: 1306 tok (3.8 c/t) PPL 13.190 | overall: 144543 tok PPL 15.519
Progress: 580000/1254250 chars | chunk: 1285 tok (3.9 c/t) PPL 13.449 | overall: 145827 tok PPL 15.499
Progress: 585000/1254250 chars | chunk: 1334 tok (3.7 c/t) PPL 12.046 | overall: 147160 tok PPL 15.464
Progress: 590000/1254250 chars | chunk: 1320 tok (3.8 c/t) PPL 12.295 | overall: 148479 tok PPL 15.432
Progress: 595000/1254250 chars | chunk: 1522 tok (3.3 c/t) PPL 13.458 | overall: 150000 tok PPL 15.411
Progress: 600000/1254250 chars | chunk: 1348 tok (3.7 c/t) PPL 11.944 | overall: 151347 tok PPL 15.376
Progress: 605000/1254250 chars | chunk: 1343 tok (3.7 c/t) PPL 9.868 | overall: 152689 tok PPL 15.316
