=== WikiText-2 FULL test-set PPL — post-tokenizer-fix re-run (ATTEMPT 2) ===
date: 2026-07-18T01:13:34Z
binary: aegis-eval/target/release/aegis-eval (built 2026-07-16 22:57, commit 5989c32)
cmd: aegis-eval aegis_pruned_model.safetensors aegis-forge/embed.bin aegis-forge/vocab.bin test.txt (flagless = chunked full-text)
attempt 1 died at session-close 2026-07-16 23:47 (2% done; log: *_attempt1_DIED_session-close.log); this attempt runs under systemd-run --user + linger
prior full-set anchor: 15.825 (old tokenizer); sample anchors: old 10.348 / new 10.758
---
==================================================
 A.L.I.C.E. Perplexity Evaluator (measured)
==================================================
Engine online. SIMD level: AVX2+FMA
Dataset: test.txt | total chars: 1254250
Progress: 240000/1254250 chars | chunk: 1265 tok (4.0 c/t) PPL 17.482 | overall: 59408 tok PPL 17.141
Progress: 245000/1254250 chars | chunk: 1225 tok (4.1 c/t) PPL 19.589 | overall: 60632 tok PPL 17.187
Progress: 250000/1254250 chars | chunk: 1235 tok (4.0 c/t) PPL 16.312 | overall: 61866 tok PPL 17.169
Progress: 255000/1254250 chars | chunk: 1314 tok (3.8 c/t) PPL 12.742 | overall: 63179 tok PPL 17.063
Progress: 260000/1254250 chars | chunk: 1364 tok (3.7 c/t) PPL 12.225 | overall: 64542 tok PPL 16.943
Progress: 265000/1254250 chars | chunk: 1452 tok (3.4 c/t) PPL 9.060 | overall: 65993 tok PPL 16.712
Progress: 270000/1254250 chars | chunk: 1359 tok (3.7 c/t) PPL 8.475 | overall: 67351 tok PPL 16.485
Progress: 275000/1254250 chars | chunk: 1443 tok (3.5 c/t) PPL 7.172 | overall: 68793 tok PPL 16.200
Progress: 280000/1254250 chars | chunk: 1260 tok (4.0 c/t) PPL 13.256 | overall: 70052 tok PPL 16.141
Progress: 285000/1254250 chars | chunk: 1194 tok (4.2 c/t) PPL 15.499 | overall: 71245 tok PPL 16.130
Progress: 290000/1254250 chars | chunk: 1332 tok (3.8 c/t) PPL 11.349 | overall: 72576 tok PPL 16.027
Progress: 295000/1254250 chars | chunk: 1201 tok (4.2 c/t) PPL 18.650 | overall: 73776 tok PPL 16.066
Progress: 300000/1254250 chars | chunk: 1101 tok (4.5 c/t) PPL 17.866 | overall: 74876 tok PPL 16.091
Progress: 305000/1254250 chars | chunk: 1265 tok (4.0 c/t) PPL 14.267 | overall: 76140 tok PPL 16.059
Progress: 310000/1254250 chars | chunk: 1261 tok (4.0 c/t) PPL 11.700 | overall: 77400 tok PPL 15.977
Progress: 315000/1254250 chars | chunk: 1291 tok (3.9 c/t) PPL 8.766 | overall: 78690 tok PPL 15.820
Progress: 320000/1254250 chars | chunk: 1283 tok (3.9 c/t) PPL 12.731 | overall: 79972 tok PPL 15.765
Progress: 325000/1254250 chars | chunk: 1361 tok (3.7 c/t) PPL 12.435 | overall: 81332 tok PPL 15.703
Progress: 330000/1254250 chars | chunk: 1363 tok (3.7 c/t) PPL 10.330 | overall: 82694 tok PPL 15.595
Progress: 335000/1254250 chars | chunk: 1361 tok (3.7 c/t) PPL 11.339 | overall: 84054 tok PPL 15.515
Progress: 340000/1254250 chars | chunk: 1272 tok (3.9 c/t) PPL 12.183 | overall: 85325 tok PPL 15.459
Progress: 345000/1254250 chars | chunk: 1302 tok (3.8 c/t) PPL 15.254 | overall: 86626 tok PPL 15.456
Progress: 350000/1254250 chars | chunk: 1287 tok (3.9 c/t) PPL 16.698 | overall: 87912 tok PPL 15.473
Progress: 355000/1254250 chars | chunk: 1206 tok (4.1 c/t) PPL 21.562 | overall: 89117 tok PPL 15.543
